Id,a,b,c,d,e,f,g,outcome
10001,0.945692141,0.401743469,-0.859284487,-0.361811741,-0.762360009,-0.467591259,-0.936803195,0.481632125
10002,0.501906783,0.902489606,-0.682920625,0.266825311,0.775331446,-0.372641198,0.386994909,1.076216498
10003,-0.34859849,-0.120788159,-0.63373851,-0.245447142,0.96692028,0.802247287,0.212486055,-3.237130466
10004,0.330178625,-0.958954901,0.50456462,-0.283823096,0.58776456,-0.939004124,-0.255964587,0.114405848
10005,-0.268119415,-0.744205504,-0.654287899,-0.137010726,-0.800919353,-0.038092355,0.566076485,-1.828510559
10006,-0.747839941,-0.487024924,0.999694885,0.779247213,0.768109358,-0.341061404,-0.995515035,0.083525385
10007,-0.414746505,-0.105110113,-0.399628296,-0.272328281,0.097775787,-0.620561648,0.614478735,-34.0947479
10008,0.791767106,0.983324765,-0.246912467,-0.888336421,0.540663153,0.390359493,-0.107492745,0.570883733
10009,0.019567213,-0.257784308,-0.291111653,0.892445509,-0.771717793,0.076883564,-0.076511669,-1.0772148
10010,0.890329559,-0.22887628,0.772282836,0.299709437,-0.132362176,-0.387179899,-0.871794506,1.341025111
10011,-0.044725073,0.725490405,0.569902444,0.907145985,0.858392225,-0.63395992,0.250738531,-2.211827953
10012,-0.394574798,0.541883177,-0.635845415,0.976683475,0.885154514,0.448494095,-0.018454127,0.387071928
10013,0.876540643,0.352222105,-0.03968242,0.141456156,0.96685698,0.473670919,0.37303202,-0.132553762
10014,-0.298332763,0.817064068,0.927866353,0.240926767,0.013219779,-0.596774938,0.271637517,-1.153025628
10015,0.844474461,-0.842216462,-0.983017012,-0.794666505,0.608265814,-0.541781236,0.995546605,-0.164397608
10016,-0.737621851,0.419771324,-0.838568343,-0.981607294,0.686502835,0.508468034,0.806417016,-0.878650748
10017,0.349425696,0.836848493,-0.408410027,0.181307659,-0.6590594,-0.586737941,-0.058423614,1.878489481
10018,-0.456598253,0.142773939,0.615704132,-0.724143791,-0.658866356,0.705603867,-0.454136589,0.524879862
10019,-0.881953468,-0.292746266,-0.804983473,-0.101554507,-0.852007231,-0.811968899,0.90046775,-6.745779823
10020,0.864493441,-0.653984637,-0.592843005,0.88494374,-0.882515119,-0.466653095,0.920631112,-0.128543785
10021,0.906518752,0.263017067,-0.53627027,-0.934739423,-0.268881643,-0.622292409,-0.630735811,0.613609795
10022,0.456561024,0.933374383,0.967702655,-0.422684864,-0.702967495,-0.717342657,0.243388765,-3.229470929
10023,0.098644929,0.023297319,-0.548362931,0.998711285,0.142007484,-0.228219422,-0.135938632,0.388738309
10024,-0.351178616,-0.925961092,-0.434952616,0.810697687,0.960435644,-0.762941454,0.03381007,-1.94594551
10025,-0.079872849,-0.103216691,0.817552867,0.500077424,-0.659763023,-0.055845223,0.350463128,0.052785949
10026,-0.388498402,-0.763097622,0.285096355,0.707147385,0.042442899,0.335127995,-0.385171521,1.630395139
10027,-0.341020354,0.124361024,0.542272218,0.2475497,0.502714085,-0.543507402,-0.236637125,-0.756112354
10028,-0.89153629,0.742636153,0.234881235,-0.244416953,0.252162488,0.163209092,0.258959882,-0.514398123
10029,0.501398316,0.139326525,-0.162747686,-0.012392987,0.492335094,0.051698558,-0.622015275,0.131940818
10030,-0.18217334,-0.065825341,-0.001192908,0.365730017,0.477282585,0.091081904,0.158378593,0.866984589
10031,-0.174093846,0.640321849,-0.797120783,-0.53891153,0.432019289,0.959568226,-0.025110965,-0.512411837
10032,0.748170852,-0.34724147,-0.752586883,-0.368149707,0.55381482,0.971781702,-0.095325013,-0.878904797
10033,0.191182873,0.350739075,-0.523940003,0.532217551,0.24886904,0.080096483,0.557776995,0.378456068
10034,0.70491551,0.297162286,-0.754637671,0.509957663,0.108242476,-0.565263952,0.974739605,0.590883737
10035,-0.944631466,-0.947313841,-0.342858612,0.282573781,-0.159400999,0.853377577,0.97593891,2.992310816
10036,-0.515908179,0.151254516,-0.117890562,-0.797900052,0.993759298,0.547234833,0.35853893,0.994881382
10037,0.606894695,0.322928824,-0.181102122,-0.542345598,-0.96510834,-0.458623199,0.200267338,0.991821294
10038,0.494821287,0.176955429,0.752485281,0.393281638,-0.5689007,0.623625835,-0.372921685,1.733538313
10039,-0.384902838,-0.758081211,0.844649207,-0.065230064,-0.162241263,-0.203037194,-0.3029866,0.451419701
10040,0.38602402,-0.925888033,-0.376648941,0.408806336,-0.902961517,-0.626868757,0.211949073,-0.392067493
10041,-0.917220003,-0.194297835,0.119284456,0.336858915,0.532483448,0.023160519,-0.247625067,0.209799729
10042,0.290873826,0.844504138,0.899768291,0.347600692,0.134452478,0.093411527,-0.687906147,-1.233534964
10043,0.067006972,-0.802634352,0.208128347,-0.665127516,0.716850044,0.912424224,-0.070555306,12.15307446
10044,-0.859023629,0.765729947,0.89252539,0.80027087,0.147031206,0.794255714,0.149499172,0.016286023
10045,-0.311189623,-0.688831854,-0.382226524,-0.053464765,0.271462611,0.253754691,0.472042531,-13.26897048
10046,-0.876052084,-0.814340456,0.403220781,-0.966226742,0.971413868,-0.270639839,-0.793102064,0.425007542
10047,-0.612598065,-0.731204833,-0.076147091,0.176576205,0.001219073,-0.67812018,-0.836059691,0.098955274
10048,-0.399185278,0.574781956,-0.497620803,-0.131987146,0.948658107,0.424023497,0.570449193,1.531545221
10049,-0.910434705,-0.071184893,-0.703976333,0.817405942,-0.458009487,0.967083157,0.993833371,5.028946224
10050,0.61234275,-0.188825581,-0.083691278,-0.678378546,-0.709644994,0.743148072,0.186170953,-1.33897714
10051,-0.030529219,0.495582118,0.29135533,-0.365951781,-0.482371541,-0.950572125,-0.245680553,-4.492773096
10052,-0.535171908,0.859209576,-0.662860219,-0.286910793,0.319521937,0.854050986,0.701916916,0.040399868
10053,-0.300936439,-0.672175343,0.490922963,0.828685209,-0.271042711,0.184510607,0.91651295,1.081866235
10054,0.549205323,0.665345405,-0.820669991,-0.426318041,-0.85503609,0.374836381,-0.072558638,0.212069683
10055,0.556427075,0.644696567,0.803154195,-0.509019643,0.036061146,-0.088764317,-0.644453874,-2.972761503
10056,-0.152989038,-0.669008522,0.139701992,-0.393325962,-0.779753897,0.458603791,-0.350324738,3.85256874
10057,0.199742364,0.94281085,-0.071536394,-0.633025289,-0.050164016,-0.172021214,-0.906829197,4.109544267
10058,0.360766748,-0.127238443,-0.298506212,0.195514874,0.492491134,-0.720534594,0.701767321,0.899924898
10059,-0.520767131,0.371425916,-0.851075007,-0.225767801,-0.861800037,0.588536292,0.840932859,-0.657297001
10060,0.730065483,0.061837559,0.852820988,-0.45825914,-0.361822032,-0.352166283,-0.73315434,-3.372588807
10061,0.205442177,0.788368099,-0.029079419,0.604702727,-0.547743928,-0.955720337,-0.815244426,7.436792473
10062,0.319218251,0.292010116,0.788265966,-0.359844282,0.239668122,-0.50664538,0.36192873,-1.70271695
10063,0.638418106,0.88968198,-0.851483813,-0.108546905,-0.326742553,0.581975438,-0.456315816,0.206528052
10064,0.689169659,0.425569159,0.43010343,-0.251435515,0.79050707,0.809863216,-0.990513205,-1.483381522
10065,-0.426698072,-0.188531523,-0.202902532,-0.999989835,-0.196736918,0.319214793,0.814597179,2.268795505
10066,0.319523333,-0.857382555,0.569505364,-0.899372433,-0.908222895,-0.254104535,0.10590752,2.413285534
10067,-0.927604839,0.03956011,0.998538576,-0.393930319,0.935781338,-0.702771275,-0.668005612,-0.385397774
10068,-0.297941768,-0.746816665,-0.650702377,0.107803504,-0.811059766,0.797855175,0.774555409,-4.378810451
10069,0.580569808,0.371552813,-0.32357982,-0.967640209,-0.684134695,0.634958946,0.002693807,-0.291330245
10070,-0.855350246,-0.32563504,0.527512162,-0.6561377,0.02709649,-0.893591596,0.436648804,-0.410710822
10071,-0.91416647,0.809033045,0.132338722,0.225230457,0.495083972,-0.642337405,-0.699968592,-1.386873626
10072,-0.991723568,-0.235776162,0.52396071,-0.4527164,0.256417738,-0.692759237,0.554615247,-0.301502814
10073,-0.409361297,0.006571871,-0.403647202,-0.582375003,-0.45531182,-0.497362519,-0.208584537,-88.19145577
10074,0.273379869,0.96407191,-0.788907194,-0.705724824,0.675870659,-0.538077138,-0.328487102,1.414070735
10075,-0.851879762,0.481694266,0.542047707,0.670273712,-0.746218925,-0.696590716,-0.851925073,-0.845298631
10076,0.658129926,0.433114986,-0.147565424,0.557311425,-0.125350812,0.96902016,-0.072347039,-0.665146168
10077,0.349980647,0.662756737,0.382882818,0.682118825,-0.038335298,0.583965664,0.987405752,-2.394707404
10078,0.374788601,-0.930663982,0.062215572,-0.861605526,-0.33028174,-0.164472832,-0.441628597,-2.451238847
10079,0.328439839,0.461142999,-0.503291024,-0.252781959,0.580800686,0.316152836,-0.758778373,0.174323414
10080,-0.275329074,0.500680246,0.914959131,-0.938146454,-0.133198384,-0.553659804,-0.042528617,-0.885785515
10081,0.631186121,-0.664965856,-0.481937914,-0.380879069,0.045438951,0.839444779,0.454362289,-1.351521112
10082,-0.281595699,-0.995725573,0.46294716,0.526396079,0.924190546,-0.873178635,0.602850547,0.164593531
10083,-0.83360571,0.233927891,0.953495746,0.397350669,0.286288541,0.91001865,-0.210732689,0.378316942
10084,-0.456699243,-0.776583015,-0.943303485,-0.785407979,0.211894466,-0.897644082,0.575627741,0.248787528
10085,0.763394588,-0.872046174,-0.899507764,-0.339207703,-0.069330006,0.066379166,0.219569825,-0.564329792
10086,0.20762539,-0.22250874,-0.803477754,0.799879683,-0.373719884,0.426528125,-0.070192229,-0.64190965
10087,-0.088541157,0.173157095,0.756349833,-0.598338131,0.998070328,-0.149200292,0.198252044,-0.381537253
10088,-0.472834012,0.390360794,0.475444812,0.430731133,-0.952526648,0.578418612,-0.993915121,0.198314898
10089,-0.625957371,0.924064646,0.276080392,0.478855091,0.348770689,-0.743413015,-0.738695581,-1.848567465
10090,-0.072093422,0.742438927,-0.219026911,0.52174565,0.493135254,0.055849892,0.493609524,4.672787967
10091,-0.043240042,-0.004756921,0.115406584,0.641151483,0.198135379,-0.438394223,-0.788624275,-2.733353445
10092,0.684011445,-0.685633252,0.453168404,-0.904607504,-0.047819728,-0.69054385,0.730686584,0.021272452
10093,-0.87227425,-0.6146072,-0.620098823,0.183553651,-0.336080733,-0.532463278,-0.59472453,0.325741184
10094,-0.367057013,-0.231591288,0.448516523,0.080620108,0.770588118,0.164664186,0.665435986,0.485861122
10095,-0.30653483,0.808453631,-0.153224209,0.432721092,-0.241288474,-0.577113461,-0.99742339,-9.037645788
10096,-0.223013216,0.885280153,-0.599089172,0.107156593,-0.705162211,-0.446912744,0.897739288,3.542350629
10097,-0.42825913,-0.769532167,0.35719052,0.867306722,0.337022696,-0.167966512,-0.07955426,0.765886974
10098,0.723951324,0.398720028,0.230623638,-0.480274395,-0.592918917,-0.771688192,-0.221256103,2.37247625
10099,0.488712656,-0.785286879,0.027105433,0.96783361,-0.137684674,0.654123481,0.54913601,-3.118257878
10100,0.090600582,-0.341886158,0.362337865,0.180608817,0.716731801,0.377932497,-0.476279842,2.648950665
10101,0.223242361,0.726410439,0.348247781,0.585238651,0.176255704,-0.724033657,0.623658318,-11.60304964
10102,0.529220835,0.639532654,-0.857963226,0.04336865,-0.898487457,-0.885066741,0.015685905,1.099060635
10103,-0.37163326,0.324239945,-0.650351387,-0.051192651,0.893997,0.109484745,-0.857921065,0.770510342
10104,0.843880922,-0.306430802,0.081643877,-0.647945161,0.117496905,-0.275505539,0.784369108,-0.040571713
10105,0.491579451,0.601598087,0.782015344,-0.060417967,0.017584379,-0.91133504,0.068136301,-5.209180972
10106,0.995595347,0.884396563,0.141621262,0.040827638,0.85066574,0.950009653,-0.83856798,-0.076832648
10107,0.227229505,0.687472748,-0.72355501,-0.162303563,-0.976876527,-0.825530596,0.39447226,1.591320976
10108,-0.701819922,0.502804282,-0.280598454,-0.476092666,-0.273838095,-0.012230211,-0.434388217,-1.222716632
10109,0.677132333,0.817376471,0.664907592,-0.794488987,-0.496394884,-0.155770813,-0.594846701,79.60473946
10110,-0.21530233,-0.092716843,-0.282919164,0.724863513,0.969985995,-0.875674735,-0.879438049,11.57933384
10111,-0.296282643,0.824504583,-0.207283142,0.227282706,-0.886933413,0.505216145,-0.674056922,-3.587530689
10112,0.630681786,-0.692728432,0.816973581,-0.864343206,0.003526964,0.698604181,-0.85365072,7.468566239
10113,-0.450841482,-0.6870735,0.22971503,-0.700941399,0.516581867,-0.746765807,0.08235063,-0.087711021
10114,-0.312260795,0.880194934,-0.874668438,-0.062343013,0.868862418,0.169549957,0.565527873,1.263576314
10115,0.216915377,-0.610021874,0.904557068,0.186462348,-0.542626169,0.825048171,0.579660956,2.086944498
10116,-0.722429782,-0.294201237,0.310261646,-0.093317731,-0.216331938,-0.81347591,0.229617649,-0.502836239
10117,-0.529954693,0.581729344,0.032803599,0.219474362,0.438732349,0.941841442,0.551014227,0.639905451
10118,-0.547542435,0.065779894,0.532960734,0.244902867,-0.05645412,0.354267556,-0.996434613,0.266993813
10119,-0.019840319,-0.207768259,-0.748819353,-0.254232699,-0.271499121,0.48710364,0.014804918,-0.953212461
10120,-0.734472681,-0.740047377,0.180859492,0.522306368,0.21968823,-0.42999454,-0.288289644,0.33873259
10121,-0.867374271,0.318918234,0.224898659,0.945098966,-0.759140829,0.252072897,0.912191594,-0.061198384
10122,-0.268730792,-0.558419118,-0.236465458,-0.909343185,0.124898442,0.549572471,0.795764003,34.34000058
10123,-0.11583984,0.41367142,-0.69480904,0.311194391,-0.233395977,-0.457195948,-0.261745666,1.504168732
10124,0.343441186,-0.156113998,0.409289618,-0.176619014,-0.617452138,0.848956544,-0.303811212,15.26339379
10125,-0.818156898,-0.244515293,0.17469133,-0.19582331,0.02894725,0.584533745,-0.966567848,0.835020916
10126,0.152931389,-0.903443741,-0.892995016,0.123184882,0.526961856,-0.501009242,0.449118083,-0.384763687
10127,0.232097868,0.541847194,0.574865412,-0.119600559,0.929132944,-0.254202,0.774012035,-2.32241706
10128,0.879615246,0.314042209,0.03478341,-0.075812478,0.773516737,-0.405418232,0.339012883,0.851601952
10129,-0.741364975,0.265732689,-0.782616291,0.44590757,0.973016567,-0.66809361,-0.372234415,22.637491
10130,-0.087249488,-0.286933017,-0.394529089,-0.073466391,-0.625280652,0.462909117,0.682255164,-2.440260046
10131,0.34950656,-0.782447586,-0.142047725,0.956758459,0.786813448,0.004512309,-0.47677645,-1.600962333
10132,0.933497203,-0.859362343,0.643058387,-0.328229809,0.429440508,0.020325565,0.859301563,-3.028823486
10133,0.430318685,-0.787185572,-0.726022866,-0.771173183,-0.029891409,-0.17601515,0.195734893,-0.528537975
10134,0.095198824,0.220711883,-0.652799743,-0.997299671,-0.720345467,-0.500908884,-0.334923066,0.964735494
10135,-0.991328825,-0.750564583,-0.932102843,-0.160482633,-0.594856012,0.391729958,0.46216284,19.28705129
10136,0.170193088,0.837111972,-0.637392862,-0.385106107,0.389364755,0.603880469,0.927089858,0.288800842
10137,-0.924691819,-0.201162539,-0.640856667,0.297351052,-0.367804177,0.135013067,-0.688777777,1.184404415
10138,0.886914513,0.06817881,-0.907718939,0.246987199,-0.438790504,0.036852816,0.906950614,0.017455372
10139,0.793070815,-0.732600211,-0.333387953,-0.496690823,-0.64200089,-0.49710044,0.491015018,-0.209062043
10140,-0.761092529,0.707972422,0.636641569,0.241959966,-0.831284579,-0.407758539,0.104840254,-0.798242643
10141,-0.411903984,-0.293290065,-0.825101578,0.710582687,0.169381604,-0.7293178,0.94572747,1.055252354
10142,-0.662217033,0.634957756,-0.478285473,0.035925689,0.187101485,0.849388904,0.567820305,1.165820301
10143,-0.803910891,0.582568912,0.202479891,-0.13564355,0.278505194,-0.432126193,-0.376944844,-1.008251588
10144,-0.706390396,-0.739594512,0.374729118,-0.56311117,-0.005388166,0.527402972,0.003697135,1.17193101
10145,0.818004006,-0.236185706,0.912415117,0.221100936,-0.448344355,-0.753966828,0.137229706,-5.484324053
10146,0.722889064,0.427747729,-0.459264272,0.482104286,0.363867301,-0.381592361,0.875789077,0.684632074
10147,-0.179389564,-0.464309777,-0.896872691,-0.295960311,-0.458373333,-0.729514482,0.497775555,0.369631975
10148,-0.515365344,0.361790667,-0.533849166,-0.047822817,-0.919470251,0.021175728,-0.238100702,18.42773339
10149,-0.534441393,-0.861985356,-0.456256618,0.119261494,-0.574070425,-0.353318862,-0.089810276,6.505953255
10150,-0.427040457,0.485181299,0.308386945,0.711590708,0.309778859,-0.555093662,-0.862285426,-1.414517543
10151,-0.594824028,-0.144011964,-0.730287956,0.810019904,0.081062551,0.147172724,0.517039677,-2.149536727
10152,0.945441434,0.686961611,-0.959023358,-0.05614184,-0.840525609,-0.621200693,0.558754504,0.686892354
10153,0.728916678,0.218884113,0.5282016,-0.350114306,0.650144214,-0.157811432,0.803904805,1.876767552
10154,0.473722962,-0.824593078,0.648928691,-0.27844413,0.194239007,0.591876834,0.724487166,8.084609583
10155,-0.840535242,0.12427572,0.727551853,-0.449286347,0.155308442,-0.151088011,0.308817649,-0.17560487
10156,-0.465644024,0.603241664,0.484804973,-0.612694579,0.637603576,0.564007162,-0.077709023,-0.041279966
10157,0.171791819,0.425032595,-0.948940369,-0.653785548,0.307977031,0.136404934,-0.700524461,0.257534908
10158,0.59508172,0.146101521,-0.979741506,0.738759707,0.465848514,0.097828906,0.692994986,0.030652719
10159,-0.611759894,0.519308831,0.476725486,0.429129299,-0.707847837,0.224268916,-0.012958815,-0.271055469
10160,0.095846173,-0.238431244,0.482390964,0.26621993,-0.268750072,0.213969349,-0.36900088,1.170370428
10161,0.980482588,-0.30813167,-0.048466364,0.466792589,-0.254248729,0.118636018,0.011705709,-0.414760798
10162,-0.998440143,0.866611588,0.086702654,0.517264929,-0.085611324,0.645251497,0.259709936,-0.20399167
10163,-0.773058612,0.542110781,-0.40893433,-0.6488457,0.85813563,-0.040167189,0.182169669,-1.599118758
10164,-0.064598003,-0.854564794,-0.070798961,-0.320978173,0.086084424,-0.19841811,-0.350572029,-105.8137532
10165,-0.349650662,0.778453715,0.861406922,0.224907504,0.988512717,-0.724351806,-0.889959524,-1.24090344
10166,0.669200001,0.416559613,-0.920040923,-0.978563163,0.621865147,0.704674219,0.210234498,-0.181290704
10167,0.326629392,-0.435819858,-0.778943556,0.01665252,0.111305955,-0.345146989,-0.346733914,-0.08201437
10168,-0.022573763,-0.081879476,0.843485426,-0.961195894,0.039824547,0.437112101,0.172625151,0.599256475
10169,0.090175911,0.52402102,0.061871236,0.352073786,0.929931661,0.896043676,-0.067857653,-13.14350556
10170,-0.156897905,0.301261644,0.024066795,0.112281132,0.41822003,0.323254827,-0.430279608,0.121533005
10171,0.10500144,0.232465689,0.781972464,0.772483355,0.906908098,0.746865346,-0.318396651,0.759854763
10172,0.53901921,-0.214273087,-0.59107572,0.754752157,-0.682254364,0.528669626,-0.494316731,-0.657416199
10173,0.030285069,-0.163534417,-0.38940266,-0.598050014,-0.366290253,0.264084724,-0.780680826,-1.018898364
10174,-0.841895338,-0.515440202,0.432480383,-0.082905076,0.276998968,0.504017492,-0.153876206,0.79996635
10175,0.822714568,0.476203479,-0.373320035,0.907287018,0.07622437,0.002751879,0.004093285,0.395851089
10176,0.994066317,-0.66840149,-0.573428075,0.108166277,-0.84847457,0.780833845,0.927136648,-0.924555356
10177,0.135271144,0.46419811,-0.186892883,0.384758042,-0.242682542,-0.102777732,-0.577094394,1.759898046
10178,0.882819315,-0.424917127,-0.193369759,0.183081609,-0.083665268,-0.015696062,0.452542099,-0.380250158
10179,0.358885683,-0.339644676,-0.601893562,0.713539983,-0.780282803,-0.392077257,-0.884764241,0.054572974
10180,-0.800553961,0.37827914,-0.321713237,-0.630739846,0.239732037,-0.3119627,0.169912784,-1.441485247
