id,name,manufacturer,pack,weight,height,width,length,cost
1,Large Red Generic Paperclips by WizBang,WizBang,390,2496,2,1.2,1.6,51.47
2,High Quality Pink Small Pencils,6% Solution,590,3776,2,1.2,1.6,213.76
3,Medium High Quality Ink Pens,Offices-R-Us,210,2016,3,1.8,2.4,131.52
4,Generic Medium Tablets by WizBang,WizBang,100,1120,3.5,2.1,2.8,117.83
5,High Quality Small Black Thumbtacks,6% Solution,670,3216,1.5,0.9,1.2,157.7
6,Duck Lake High Quality Green Large Ink Pens,Duck Lake,350,3920,3.5,2.1,2.8,151.64
7,Medium High Quality Red Tablets by Deep Office Supplies,Deep Office Supplies,670,7504,3.5,2.1,2.8,417.51
8,Duck Lake Small Generic White Thumbtacks,Duck Lake,200,960,1.5,0.9,1.2,63.37
9,High Quality Green Tablets,6% Solution,790,10112,4,2.4,3.2,521.65
10,High Quality Blue Tiny Paperclips,6% Solution,830,1328,0.5,0.3,0.4,89.03
11,Tiny Brown Pencils by Deep Office Supplies,Deep Office Supplies,440,2112,1.5,0.9,1.2,86.24
12,White High Quality Medium Ink Pens by Deep Office Supplies,Deep Office Supplies,180,1728,3,1.8,2.4,116.46
13,Generic Tiny Red Paperweights by Deep Office Supplies,Deep Office Supplies,8,76.8,3,1.8,2.4,25.56
14,Medium Generic Paperweights,Offices-R-Us,5,64,4,2.4,3.2,19.02
15,Tiny Brown Generic Post It Notes by Deep Office Supplies,Deep Office Supplies,77,123.2,0.5,0.3,0.4,13.5
16,Tiny White Generic Ink Pens by WizBang,WizBang,370,2368,2,1.2,1.6,158.15
17,Medium High Quality Brown Tablets by WizBang,WizBang,950,10640,3.5,2.1,2.8,622.4
18,High Quality Large White Stapler,6% Solution,5,80,5,3,4,49.78
19,Duck Lake Blue Tiny High Quality Stapler,Duck Lake,3,33.6,3.5,2.1,2.8,30.09
20,Blue Small Generic Paperclips by Deep Office Supplies,Deep Office Supplies,850,2720,1,0.6,0.8,90.52
21,Large Generic Tablets by Deep Office Supplies,Deep Office Supplies,710,9088,4,2.4,3.2,581.41
22,Duck Lake Blue Small Paperclips,Duck Lake,720,2304,1,0.6,0.8,105.21
23,Generic Large Ink Pens,Offices-R-Us,500,5600,3.5,2.1,2.8,179.05
24,High Quality Blue Large Post It Notes,6% Solution,58,278.4,1.5,0.9,1.2,21.01
25,High Quality Large Brown Paperweights,6% Solution,5,72,4.5,2.7,3.6,19.86
26,Pink High Quality Medium Thumbtacks,Offices-R-Us,770,4928,2,1.2,1.6,251.49
27,Tiny Blue High Quality Post It Notes,6% Solution,90,144,0.5,0.3,0.4,15.35
28,High Quality Tiny Black Thumbtacks by WizBang,WizBang,710,2272,1,0.6,0.8,139.95
29,Blue Medium Stapler by WizBang,WizBang,6,86.4,4.5,2.7,3.6,56.47
30,Large High Quality Paperweights by WizBang,WizBang,4,57.6,4.5,2.7,3.6,17
31,Medium White Generic Tablets,6% Solution,780,8736,3.5,2.1,2.8,569.13
32,Small White High Quality Paperweights by Deep Office Supplies,Deep Office Supplies,6,67.2,3.5,2.1,2.8,23.32
33,Generic Blue Small Paperweights,6% Solution,7,78.4,3.5,2.1,2.8,24.44
34,Brown High Quality Paperweights by WizBang,WizBang,7,78.4,3.5,2.1,2.8,25.56
35,Large High Quality Paperweights by WizBang,WizBang,7,100.8,4.5,2.7,3.6,27.82
36,High Quality Medium Thumbtacks by WizBang,WizBang,700,4480,2,1.2,1.6,138.55
37,Duck Lake Red Small High Quality Ink Pens,Duck Lake,140,1120,2.5,1.5,2,52.83
38,High Quality Tiny Stapler,6% Solution,8,89.6,3.5,2.1,2.8,73.29
39,Tiny High Quality Pink Stapler,6% Solution,1,11.2,3.5,2.1,2.8,11.67
40,Duck Lake Black Tiny Paperclips,Duck Lake,810,1296,0.5,0.3,0.4,114.29
41,Large High Quality Paperweights,Offices-R-Us,3,43.2,4.5,2.7,3.6,12.38
42,High Quality Medium Stapler by Deep Office Supplies,Deep Office Supplies,9,129.6,4.5,2.7,3.6,80.52
43,Duck Lake Pink High Quality Tiny Thumbtacks,Duck Lake,270,864,1,0.6,0.8,91.97
44,Generic Tiny Red Ink Pens by WizBang,WizBang,600,3840,2,1.2,1.6,118.03
45,Pink High Quality Large Stapler,6% Solution,5,80,5,3,4,50.2
46,Generic Brown Small Tablets by Deep Office Supplies,Deep Office Supplies,270,2592,3,1.8,2.4,223.92
47,Medium White Paperclips,Offices-R-Us,440,2112,1.5,0.9,1.2,142.43
48,Duck Lake Red High Quality Tablets,Duck Lake,140,1344,3,1.8,2.4,119.27
49,Tiny Green Generic Paperclips,6% Solution,220,352,0.5,0.3,0.4,12.89
50,Large Generic Brown Stapler,Offices-R-Us,1,16,5,3,4,11.57
51,Green Generic Tiny Post It Notes by Deep Office Supplies,Deep Office Supplies,18,28.8,0.5,0.3,0.4,1.41
52,Generic Black Tiny Pencils,6% Solution,990,4752,1.5,0.9,1.2,184.54
53,High Quality Green Medium Post It Notes,Offices-R-Us,12,38.4,1,0.6,0.8,3.7
54,Duck Lake High Quality Green Large Ink Pens,Duck Lake,200,2240,3.5,2.1,2.8,98.36
55,Tiny White High Quality Tablets,Offices-R-Us,1000,8000,2.5,1.5,2,644.46
56,Red High Quality Tiny Paperclips by WizBang,WizBang,730,1168,0.5,0.3,0.4,31.63
57,White Small Tablets,Offices-R-Us,320,3072,3,1.8,2.4,295.76
58,High Quality Tiny Red Paperclips,Offices-R-Us,190,304,0.5,0.3,0.4,11.49
59,Duck Lake Small High Quality Pink Stapler,Duck Lake,4,51.2,4,2.4,3.2,40.54
60,Duck Lake Tiny Generic Red Tablets,Duck Lake,730,5840,2.5,1.5,2,369.12
61,Large High Quality Blue Thumbtacks,Offices-R-Us,170,1360,2.5,1.5,2,55.72
62,Tiny Blue Generic Paperclips,Offices-R-Us,850,1360,0.5,0.3,0.4,62.85
63,High Quality Medium Red Stapler by WizBang,WizBang,9,129.6,4.5,2.7,3.6,79.12
64,Brown Large Generic Pencils by WizBang,WizBang,950,9120,3,1.8,2.4,239.16
65,Red High Quality Tiny Paperweights by WizBang,WizBang,9,86.4,3,1.8,2.4,29.03
66,Tiny Black High Quality Pencils,6% Solution,420,2016,1.5,0.9,1.2,116.56
67,Pink Generic Stapler by WizBang,WizBang,2,22.4,3.5,2.1,2.8,21.53
68,High Quality Red Medium Tablets,Offices-R-Us,180,2016,3.5,2.1,2.8,154.38
69,Tiny Pink Paperclips,6% Solution,760,1216,0.5,0.3,0.4,186.06
70,Black Tiny Generic Thumbtacks,6% Solution,170,544,1,0.6,0.8,39.19
71,Duck Lake White Generic Large Tablets,Duck Lake,530,6784,4,2.4,3.2,451.2
72,White Large Generic Thumbtacks,Offices-R-Us,930,7440,2.5,1.5,2,257.21
73,Generic Large Brown Post It Notes,Offices-R-Us,6,28.8,1.5,0.9,1.2,3
74,Duck Lake Small Blue High Quality Pencils,Duck Lake,440,2816,2,1.2,1.6,103.46
75,Brown Generic Thumbtacks,Offices-R-Us,880,2816,1,0.6,0.8,105.95
76,Tiny Brown Paperclips by WizBang,WizBang,940,1504,0.5,0.3,0.4,97.01
77,Brown Generic Small Post It Notes,6% Solution,2,3.2,0.5,0.3,0.4,0.76
78,Blue Tiny Generic Paperweights by WizBang,WizBang,1,9.6,3,1.8,2.4,4.23
79,White Large High Quality Paperweights,Offices-R-Us,8,115.2,4.5,2.7,3.6,31.27
80,Tiny Brown Paperweights by WizBang,WizBang,8,76.8,3,1.8,2.4,28.1
81,White Small High Quality Post It Notes,6% Solution,70,112,0.5,0.3,0.4,28.58
82,Duck Lake Tiny Red High Quality Ink Pens,Duck Lake,370,2368,2,1.2,1.6,97.67
83,Duck Lake Tiny Black High Quality Pencils,Duck Lake,540,2592,1.5,0.9,1.2,140.35
84,Duck Lake Green Small Ink Pens,Duck Lake,470,3760,2.5,1.5,2,152.97
85,Brown High Quality Large Ink Pens by Deep Office Supplies,Deep Office Supplies,490,5488,3.5,2.1,2.8,232.34
86,Large Green High Quality Ink Pens by Deep Office Supplies,Deep Office Supplies,880,9856,3.5,2.1,2.8,296.4
87,Generic Blue Medium Stapler by WizBang,WizBang,6,86.4,4.5,2.7,3.6,55.98
88,Duck Lake Tiny High Quality Ink Pens,Duck Lake,100,640,2,1.2,1.6,45.64
89,Duck Lake Pink Large High Quality Ink Pens,Duck Lake,480,5376,3.5,2.1,2.8,283.93
90,White High Quality Large Post It Notes,6% Solution,84,403.2,1.5,0.9,1.2,42.57
91,Pink Tiny High Quality Post It Notes by Deep Office Supplies,Deep Office Supplies,97,155.2,0.5,0.3,0.4,37.36
92,Pink High Quality Paperclips by WizBang,WizBang,950,6080,2,1.2,1.6,306.75
93,Generic Red Tiny Tablets by WizBang,WizBang,890,7120,2.5,1.5,2,423.84
94,Brown Small High Quality Post It Notes by WizBang,WizBang,67,107.2,0.5,0.3,0.4,19.8
95,Duck Lake Medium Green Generic Post It Notes,Duck Lake,100,320,1,0.6,0.8,16.72
96,Green Generic Medium Ink Pens by Deep Office Supplies,Deep Office Supplies,660,6336,3,1.8,2.4,195.86
97,High Quality Brown Medium Ink Pens,6% Solution,880,8448,3,1.8,2.4,324.73
98,Pink Large High Quality Paperclips by WizBang,WizBang,620,3968,2,1.2,1.6,227.37
99,Tiny Pink Pencils by WizBang,WizBang,670,3216,1.5,0.9,1.2,187.41
100,Tiny Pink High Quality Paperclips,Offices-R-Us,300,480,0.5,0.3,0.4,93.72
101,White Large Generic Ink Pens by Deep Office Supplies,Deep Office Supplies,740,8288,3.5,2.1,2.8,337.99
102,High Quality Tiny Green Paperclips by Deep Office Supplies,Deep Office Supplies,490,784,0.5,0.3,0.4,42.36
103,Small Pink Generic Pencils by WizBang,WizBang,230,1472,2,1.2,1.6,94.52
104,Duck Lake Brown Small Stapler,Duck Lake,7,89.6,4,2.4,3.2,64.65
105,Duck Lake Medium Red Generic Thumbtacks,Duck Lake,940,6016,2,1.2,1.6,81.21
106,Medium Black Generic Paperweights,Offices-R-Us,5,64,4,2.4,3.2,19.44
107,Duck Lake Brown High Quality Tiny Thumbtacks,Duck Lake,330,1056,1,0.6,0.8,65.7
108,Tiny Generic Thumbtacks by Deep Office Supplies,Deep Office Supplies,840,2688,1,0.6,0.8,157.47
109,High Quality Medium Blue Ink Pens,6% Solution,360,3456,3,1.8,2.4,154.91
110,Medium Generic Black Paperweights by Deep Office Supplies,Deep Office Supplies,10,128,4,2.4,3.2,35.67
111,Duck Lake White High Quality Small Paperclips,Duck Lake,870,2784,1,0.6,0.8,204.44
112,Large Pink Generic Paperweights,6% Solution,5,72,4.5,2.7,3.6,20.7
113,Tiny White Generic Thumbtacks,Offices-R-Us,180,576,1,0.6,0.8,49.66
114,Large Black Pencils by WizBang,WizBang,290,2784,3,1.8,2.4,125.68
115,High Quality White Tiny Pencils,6% Solution,400,1920,1.5,0.9,1.2,128.41
116,Brown High Quality Large Paperweights by WizBang,WizBang,7,100.8,4.5,2.7,3.6,26.69
117,Tiny Generic White Stapler by WizBang,WizBang,7,78.4,3.5,2.1,2.8,64.65
118,Duck Lake Black Large Generic Stapler,Duck Lake,6,96,5,3,4,57.46
119,White Tiny Tablets,6% Solution,110,880,2.5,1.5,2,115.66
120,Small Red Paperclips,6% Solution,130,416,1,0.6,0.8,8.49
121,Small Generic Red Paperweights,Offices-R-Us,9,100.8,3.5,2.1,2.8,29.03
122,Black High Quality Small Ink Pens,6% Solution,810,6480,2.5,1.5,2,306.6
123,Small Blue Post It Notes by WizBang,WizBang,83,132.8,0.5,0.3,0.4,18.99
124,White Tiny Stapler,Offices-R-Us,7,78.4,3.5,2.1,2.8,64.65
125,Medium White High Quality Tablets by WizBang,WizBang,940,10528,3.5,2.1,2.8,677.22
126,Green Small Generic Ink Pens by Deep Office Supplies,Deep Office Supplies,720,5760,2.5,1.5,2,183.73
127,Duck Lake Tiny Generic Paperweights,Duck Lake,6,57.6,3,1.8,2.4,19.87
128,Medium Black Generic Paperweights by Deep Office Supplies,Deep Office Supplies,10,128,4,2.4,3.2,35.67
129,Large Blue High Quality Stapler by WizBang,WizBang,7,112,5,3,4,65.21
130,Duck Lake Brown High Quality Tablets,Duck Lake,440,4928,3.5,2.1,2.8,358.85
131,Duck Lake Generic Red Small Tablets,Duck Lake,950,9120,3,1.8,2.4,473.08
132,Green Generic Tiny Ink Pens by WizBang,WizBang,950,6080,2,1.2,1.6,192.91
133,Duck Lake High Quality Large Ink Pens,Duck Lake,640,7168,3.5,2.1,2.8,350.11
134,Large Red Paperclips,6% Solution,660,4224,2,1.2,1.6,75.75
135,Generic Black Tiny Ink Pens,Offices-R-Us,420,2688,2,1.2,1.6,157.33
136,High Quality Large Black Paperweights by Deep Office Supplies,Deep Office Supplies,5,72,4.5,2.7,3.6,20.28
137,Generic Small White Paperclips by Deep Office Supplies,Deep Office Supplies,390,1248,1,0.6,0.8,98.67
138,Tiny Pink Generic Post It Notes by WizBang,WizBang,65,104,0.5,0.3,0.4,23.1
139,Medium Brown Generic Thumbtacks,Offices-R-Us,210,1344,2,1.2,1.6,56.08
140,Duck Lake Pink Small High Quality Stapler,Duck Lake,4,51.2,4,2.4,3.2,40.54
141,Large White Generic Stapler,Offices-R-Us,8,128,5,3,4,74.56
142,Generic White Tiny Paperclips,6% Solution,350,560,0.5,0.3,0.4,76.43
143,Brown Small High Quality Pencils by Deep Office Supplies,Deep Office Supplies,330,2112,2,1.2,1.6,97.16
144,Brown Small Paperclips by WizBang,WizBang,260,832,1,0.6,0.8,49.31
145,Pink Large High Quality Pencils,Offices-R-Us,800,7680,3,1.8,2.4,318.5
146,Small Blue Generic Stapler,6% Solution,8,102.4,4,2.4,3.2,71.39
147,Duck Lake Generic Large Blue Stapler,Duck Lake,5,80,5,3,4,48.1
148,Generic Pink Large Paperweights,6% Solution,5,72,4.5,2.7,3.6,20.7
149,High Quality Medium Green Pencils by Deep Office Supplies,Deep Office Supplies,180,1440,2.5,1.5,2,51.99
150,Blue High Quality Medium Stapler by WizBang,WizBang,6,86.4,4.5,2.7,3.6,56.47
151,White Small Generic Thumbtacks,6% Solution,360,1728,1.5,0.9,1.2,99.8
152,Small Blue Paperclips,6% Solution,170,544,1,0.6,0.8,35.32
153,Blue Generic Small Post It Notes by Deep Office Supplies,Deep Office Supplies,27,43.2,0.5,0.3,0.4,5.61
154,Medium Generic Paperweights by Deep Office Supplies,Deep Office Supplies,2,25.6,4,2.4,3.2,8.81
155,High Quality Pink Thumbtacks by Deep Office Supplies,Deep Office Supplies,470,3760,2.5,1.5,2,194.18
156,Generic Tiny Red Pencils,6% Solution,610,2928,1.5,0.9,1.2,43.94
157,Large Pink Generic Paperclips by Deep Office Supplies,Deep Office Supplies,400,2560,2,1.2,1.6,148.67
158,Duck Lake Medium High Quality Green Thumbtacks,Duck Lake,440,2816,2,1.2,1.6,81.6
159,Large Generic Paperweights,Offices-R-Us,6,86.4,4.5,2.7,3.6,23.32
160,White Generic Small Ink Pens by WizBang,WizBang,590,4720,2.5,1.5,2,244.75
161,White High Quality Medium Pencils by WizBang,WizBang,320,2560,2.5,1.5,2,135.53
162,Small Brown Stapler by WizBang,WizBang,10,128,4,2.4,3.2,87.49
163,Duck Lake Generic Medium Red Paperweights,Duck Lake,5,64,4,2.4,3.2,17.76
164,Red Medium High Quality Tablets,Offices-R-Us,440,4928,3.5,2.1,2.8,307.2
165,High Quality Blue Paperclips,Offices-R-Us,830,5312,2,1.2,1.6,170.67
166,Large Green High Quality Paperweights by Deep Office Supplies,Deep Office Supplies,3,43.2,4.5,2.7,3.6,12.11
167,Tiny High Quality Blue Thumbtacks by Deep Office Supplies,Deep Office Supplies,150,480,1,0.6,0.8,27.98
168,Blue High Quality Small Stapler by WizBang,WizBang,5,64,4,2.4,3.2,47.68
169,Large Generic Black Post It Notes by WizBang,WizBang,21,100.8,1.5,0.9,1.2,10.37
170,Generic Black Small Tablets,6% Solution,210,2016,3,1.8,2.4,193.87
171,Pink Tiny High Quality Ink Pens by WizBang,WizBang,410,2624,2,1.2,1.6,203.52
172,Tiny Brown High Quality Paperweights,Offices-R-Us,7,67.2,3,1.8,2.4,25
173,Red Generic Medium Post It Notes by WizBang,WizBang,61,195.2,1,0.6,0.8,7.54
174,High Quality Medium Post It Notes,6% Solution,99,316.8,1,0.6,0.8,43.34
175,High Quality Red Small Tablets,6% Solution,350,3360,3,1.8,2.4,244.15
176,Duck Lake Blue High Quality Paperweights,Duck Lake,8,89.6,3.5,2.1,2.8,28.1
177,Generic Black Ink Pens,6% Solution,170,1360,2.5,1.5,2,86.49
178,Generic Large Ink Pens,Offices-R-Us,760,8512,3.5,2.1,2.8,267.63
179,Generic Small Blue Stapler,Offices-R-Us,2,25.6,4,2.4,3.2,20.97
180,Green Medium Generic Thumbtacks by WizBang,WizBang,720,4608,2,1.2,1.6,92.09
181,High Quality Brown Tiny Stapler,Offices-R-Us,2,22.4,3.5,2.1,2.8,21.16
182,Duck Lake High Quality Black Small Stapler,Duck Lake,6,76.8,4,2.4,3.2,56.96
183,High Quality Blue Medium Tablets,Offices-R-Us,860,9632,3.5,2.1,2.8,553.38
184,Large High Quality Blue Ink Pens,Offices-R-Us,730,8176,3.5,2.1,2.8,285.01
185,Black Medium High Quality Thumbtacks by Deep Office Supplies,Deep Office Supplies,450,2880,2,1.2,1.6,135.5
186,Generic Blue Small Paperweights by WizBang,WizBang,9,100.8,3.5,2.1,2.8,30.44
187,Generic Small Thumbtacks by Deep Office Supplies,Deep Office Supplies,880,4224,1.5,0.9,1.2,77.61
188,Duck Lake Tiny White High Quality Tablets,Duck Lake,190,1520,2.5,1.5,2,188.21
189,Medium Generic White Paperclips by WizBang,WizBang,370,1776,1.5,0.9,1.2,109.95
190,High Quality Tiny Brown Tablets by WizBang,WizBang,160,1280,2.5,1.5,2,148.46
191,Brown High Quality Tiny Tablets by WizBang,WizBang,770,6160,2.5,1.5,2,486.54
192,Large Generic Blue Ink Pens,6% Solution,500,5600,3.5,2.1,2.8,197.97
193,High Quality Large Stapler by Deep Office Supplies,Deep Office Supplies,6,96,5,3,4,56.47
194,Green Large Ink Pens,Offices-R-Us,210,2352,3.5,2.1,2.8,92.43
195,High Quality Black Large Post It Notes by WizBang,WizBang,82,393.6,1.5,0.9,1.2,37.15
196,White Generic Medium Post It Notes,Offices-R-Us,76,243.2,1,0.6,0.8,30.59
197,Generic Blue Medium Pencils by WizBang,WizBang,940,7520,2.5,1.5,2,178.15
198,Tiny Blue Pencils,6% Solution,350,1680,1.5,0.9,1.2,72.61
199,Generic Blue Medium Pencils,6% Solution,200,1600,2.5,1.5,2,56.5
200,Duck Lake High Quality Small Paperweights,Duck Lake,5,56,3.5,2.1,2.8,17.76
201,Tiny High Quality Pink Thumbtacks by Deep Office Supplies,Deep Office Supplies,580,1856,1,0.6,0.8,163.25
202,Red High Quality Tiny Tablets by Deep Office Supplies,Deep Office Supplies,400,3200,2.5,1.5,2,254
203,High Quality Small Black Paperclips by Deep Office Supplies,Deep Office Supplies,990,3168,1,0.6,0.8,192.62
204,Blue Generic Paperclips,6% Solution,200,1280,2,1.2,1.6,49.57
205,Blue Generic Pencils by WizBang,WizBang,520,3328,2,1.2,1.6,97.57
206,Blue Small Tablets by WizBang,WizBang,240,2304,3,1.8,2.4,193.52
207,Tiny Red Generic Paperclips,6% Solution,700,1120,0.5,0.3,0.4,6.56
208,White Medium High Quality Ink Pens,Offices-R-Us,770,7392,3,1.8,2.4,347.57
